Filename,70471000_RCL_N_F00_2024-09-03_22_53_08.csv
Record Description,SR_407
Hardware ID,Laserlux G7
Firmware Version,1.4123_2023-11-15 11:04:48 -0800_1113_2021 SYSN LZ1024
Units,English
Timezone Offset,-04
Cal Factor,0.304755
Cal Standard Value,206.000000
Cal IR Standard Value,1.000000
Calibration Date and Time,2024-09-03_21:41:21
Stripe Colortype,Yellow
Minimum Good Value,250.000000,0,255,0
Minimum Marginal Value-2,150.000000,255,255,0
Minimum Marginal Value-1,80.000000,255,0,0
Minimum Marginal Value-0,80.000000,255,0,0
Minimum Valid Value,50.000000,255,0,0
Road Condition Label and Type 0,Pavement_Change,on-off
Road Condition Label and Type 1,Pause,on-off(auto_pause)
Road Condition Label and Type 2,Bridge,on-off
Road Condition Label and Type 3,Audible,on-off
Road Condition Label and Type 4,Rumble_Stripe,on-off
Road Condition Label and Type 5,Construction,on-off
Road Condition Label and Type 6,No_Line,on-off(auto_pause)
Road Condition Label and Type 7,Line_Damage,on-off(auto_pause)
Road Condition Label and Type 8,Debris_on_Line,on-off(auto_pause)
Road Condition Label and Type 9,Line_Interference,on-off(auto_pause)
Record #,Odometer,Date,Time,Latitude,Longitude,GPS Accuracy,Vehicle Speed,Temperature,Humdity,Valid_Scans_Left,Retro_Left_Maximum,Retro_Left_Minimum,Retro_Left_Average,Retro_Left_StdDev,Retro_Left_Stripewidth,Retro_Left_Contrast,Retro_Left_CIE1931_x,Retro_Left_CIE1931_y,Retro_Left_Color,RPMS_Found_Left,Valid_Scans_Right,Retro_Right_Maximum,Retro_Right_Minimum,Retro_Right_Average,Retro_Right_StdDev,Retro_Right_Stripewidth,Retro_Right_Contrast,Retro_Right_CIE1931_x,Retro_Right_CIE1931_y,Retro_Right_Color,RPMS_Found_Right,Two_Stripe_Average,StripeType,Road_Conditions
8,0.800,2024-09-03,22:53:59,28.457430,-80.868774,0.48,55,80.99, 75.5%,2430,810.0,50.6,197.8,67.9,   6.0,0.96,0.000,0.000,NA,13,390,346.5,50.6,181.4,62.2,   5.8,0.94,0.000,0.000,NA,0,195.5,Double_Solid,
9,0.900,2024-09-03,22:54:05,28.458675,-80.867912,0.49,55,80.96, 75.1%,2418,812.2,52.4,197.2,90.8,   4.0,0.77,0.000,0.000,NA,19,1262,865.5,51.5,193.7,86.4,   5.7,0.95,0.000,0.000,NA,31,196.0,Double_Solid,
10,1.000,2024-09-03,22:54:12,28.459911,-80.867065,0.53,58,80.97, 75.5%,2404,482.4,85.0,186.2,43.8,   4.8,0.97,0.000,0.000,NA,13,2354,8668.8,53.9,177.5,188.5,   5.3,0.96,0.000,0.000,NA,12,181.9,Double_Solid,
11,1.100,2024-09-03,22:54:18,28.461161,-80.866211,0.55,59,81.05, 75.5%,2316,835.3,82.9,169.5,47.0,   5.1,0.97,0.000,0.000,NA,13,2272,766.5,73.4,127.6,41.1,   5.5,0.96,0.000,0.000,NA,13,148.8,Double_Solid,
12,1.200,2024-09-03,22:54:24,28.462383,-80.865372,0.56,60,80.95, 75.6%,2264,635.4,102.1,185.7,33.9,   5.6,0.97,0.000,0.000,NA,12,2222,939.3,95.4,172.3,68.0,   5.6,0.97,0.000,0.000,NA,13,179.0,Double_Solid,
13,1.300,2024-09-03,22:54:30,28.463625,-80.864525,0.56,60,81.04, 75.5%,2274,732.6,82.3,194.5,34.3,   6.3,0.96,0.000,0.000,NA,12,2242,794.5,82.9,185.4,36.2,   6.3,0.98,0.000,0.000,NA,12,190.0,Double_Solid,
14,1.400,2024-09-03,22:54:36,28.464857,-80.863678,0.57,57,81.04, 75.4%,2245,933.5,72.2,171.3,38.1,   6.0,0.96,0.000,0.000,NA,12,2205,812.8,90.2,181.0,32.4,   6.1,0.98,0.000,0.000,NA,12,176.1,Double_Solid,
15,1.500,2024-09-03,22:54:44,28.466118,-80.862823,0.57,39,80.95, 75.3%,2940,824.4,100.0,182.8,37.8,   5.9,0.96,0.000,0.000,NA,13,2888,843.3,89.6,177.0,40.7,   5.5,0.98,0.000,0.000,NA,12,179.9,Double_Solid,
16,1.600,2024-09-03,22:54:54,28.467335,-80.861992,0.59,33,81.05, 75.0%,3748,733.9,78.9,139.5,34.5,   6.2,0.95,0.000,0.000,NA,11,3697,682.7,75.6,140.9,31.6,   5.9,0.96,0.000,0.000,NA,12,140.2,Double_Solid,
17,1.700,2024-09-03,22:55:05,28.468578,-80.861145,0.57,28,81.12, 74.7%,4457,1308.0,59.1,134.8,36.5,   5.0,0.96,0.000,0.000,NA,14,4396,869.8,62.5,132.7,32.0,   5.6,0.98,0.000,0.000,NA,15,133.8,Double_Solid,
18,1.786,2024-09-03,22:55:17,28.469658,-80.860413,0.56,27,81.12, 74.3%,4310,696.4,59.4,122.1,39.2,   4.5,0.96,0.000,0.000,NA,12,4276,808.2,53.9,107.6,41.3,   4.9,0.96,0.000,0.000,NA,11,114.9,Double_Solid,
19,1.800,2024-09-03,22:55:19,28.469852,-80.860291,0.56,31,81.19, 74.2%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,
20,1.862,2024-09-03,22:55:24,28.470644,-80.859741,0.56,46,81.21, 74.3%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,
21,1.900,2024-09-03,22:55:27,28.471085,-80.859444,0.55,46,81.24, 74.3%,1071,616.2,101.8,157.0,29.8,   4.9,0.96,0.000,0.000,NA,4,1067,762.5,64.6,100.2,38.0,   5.3,0.96,0.000,0.000,NA,4,128.7,Double_Solid,
22,2.000,2024-09-03,22:55:34,28.472363,-80.858574,0.55,57,81.21, 74.2%,2721,721.1,87.5,158.5,32.1,   5.4,0.97,0.000,0.000,NA,12,2708,801.2,69.8,113.2,35.5,   5.4,0.98,0.000,0.000,NA,12,135.9,Double_Solid,
23,2.100,2024-09-03,22:55:40,28.473597,-80.857727,0.54,60,81.26, 74.1%,2281,791.4,92.0,159.5,36.4,   5.4,0.97,0.000,0.000,NA,12,2270,591.5,80.8,112.4,27.6,   5.3,0.97,0.000,0.000,NA,12,136.0,Double_Solid,
24,2.200,2024-09-03,22:55:46,28.474838,-80.856880,0.53,60,81.24, 74.0%,2273,567.5,64.6,135.9,30.6,   4.9,0.97,0.000,0.000,NA,12,2240,880.4,58.2,105.1,39.6,   4.8,0.97,0.000,0.000,NA,12,120.6,Double_Solid,
25,2.300,2024-09-03,22:55:52,28.476084,-80.856041,0.53,60,81.29, 74.3%,2293,636.0,79.8,135.7,35.2,   5.9,0.96,0.000,0.000,NA,13,2261,5282.9,68.9,108.4,113.0,   5.4,0.96,0.000,0.000,NA,12,122.2,Double_Solid,
26,2.400,2024-09-03,22:55:59,28.477325,-80.855186,0.52,60,81.23, 74.2%,2263,623.5,60.6,106.8,29.8,   5.7,0.95,0.000,0.000,NA,14,2260,857.9,71.6,112.1,43.4,   5.5,0.97,0.000,0.000,NA,13,109.5,Double_Solid,
27,2.500,2024-09-03,22:56:04,28.478569,-80.854340,0.52,60,81.22, 73.8%,2274,700.3,71.0,106.1,36.4,   5.6,0.95,0.000,0.000,NA,12,2254,16942.9,85.0,135.2,355.8,   5.7,0.97,0.000,0.000,NA,14,120.6,Double_Solid,
28,2.600,2024-09-03,22:56:10,28.479811,-80.853493,0.52,60,81.15, 74.1%,2285,673.8,72.5,123.9,29.4,   4.6,0.97,0.000,0.000,NA,11,2289,893.8,68.6,119.6,35.6,   5.2,0.97,0.000,0.000,NA,11,121.8,Double_Solid,
29,2.700,2024-09-03,22:56:16,28.481052,-80.852646,0.54,60,81.15, 74.1%,2244,636.9,95.7,158.7,34.3,   5.7,0.97,0.000,0.000,NA,13,2253,534.2,84.1,122.8,22.3,   5.8,0.98,0.000,0.000,NA,12,140.7,Double_Solid,
30,2.800,2024-09-03,22:56:22,28.482288,-80.851799,0.55,60,81.23, 74.0%,2246,899.6,76.8,136.1,40.0,   5.3,0.97,0.000,0.000,NA,13,2212,718.9,71.0,114.7,27.8,   5.6,0.97,0.000,0.000,NA,13,125.5,Double_Solid,
31,2.900,2024-09-03,22:56:28,28.483540,-80.850945,0.54,60,81.21, 73.9%,2267,836.9,77.4,144.7,39.5,   5.2,0.97,0.000,0.000,NA,12,2242,832.6,72.2,114.7,33.8,   5.7,0.98,0.000,0.000,NA,13,129.8,Double_Solid,
(Road Condition Start),2.911,2024-09-03,22:56:29,28.483696,-80.850845,0.54,60,81.20, 73.9%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,4
32,3.000,2024-09-03,22:56:35,28.484814,-80.850090,0.53,59,81.20, 74.0%,2312,904.8,85.9,182.8,50.8,   5.6,0.97,0.000,0.000,NA,14,2279,912.4,82.6,130.9,36.9,   6.1,0.98,0.000,0.000,NA,14,157.0,Double_Solid,4
33,3.100,2024-09-03,22:56:41,28.486061,-80.849236,0.52,60,81.19, 74.3%,2276,658.0,102.1,177.9,37.1,   5.5,0.98,0.000,0.000,NA,13,2226,833.8,85.0,117.2,32.8,   5.8,0.98,0.000,0.000,NA,13,147.9,Double_Solid,4
(Road Condition Start),3.139,2024-09-03,22:56:43,28.486547,-80.848907,0.52,60,81.13, 74.6%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,42
(Road Condition End),3.166,2024-09-03,22:56:45,28.486858,-80.848694,0.53,60,81.15, 74.6%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,4
34,3.200,2024-09-03,22:56:47,28.487305,-80.848389,0.54,60,81.18, 74.6%,2230,945.7,61.6,230.1,117.2,   5.2,0.97,0.000,0.000,NA,18,2189,754.3,60.6,191.8,113.2,   5.7,0.98,0.000,0.000,NA,19,211.2,Double_Solid,4
35,3.300,2024-09-03,22:56:53,28.488518,-80.847565,0.54,60,81.16, 74.5%,2168,651.9,114.6,216.7,45.1,   5.0,0.98,0.000,0.000,NA,13,2128,639.7,102.4,268.6,37.4,   5.6,0.99,0.000,0.000,NA,13,242.4,Double_Solid,4
36,3.400,2024-09-03,22:56:58,28.489758,-80.846718,0.55,60,81.23, 73.9%,2272,768.9,123.4,241.5,50.9,   5.7,0.98,0.000,0.000,NA,13,2226,642.7,218.8,323.4,43.4,   6.1,0.99,0.000,0.000,NA,13,282.1,Double_Solid,4
37,3.500,2024-09-03,22:57:05,28.491018,-80.845856,0.55,54,81.11, 73.7%,2444,584.8,131.0,212.0,37.6,   5.9,0.97,0.000,0.000,NA,13,2409,759.4,163.3,280.7,39.0,   6.3,0.99,0.000,0.000,NA,13,246.1,Double_Solid,4
38,3.600,2024-09-03,22:57:12,28.492270,-80.845001,0.55,54,81.20, 73.8%,2579,703.1,93.6,202.4,47.9,   5.4,0.97,0.000,0.000,NA,12,2527,547.3,111.8,297.6,44.9,   6.0,0.99,0.000,0.000,NA,13,249.5,Double_Solid,4
39,3.700,2024-09-03,22:57:18,28.493502,-80.844170,0.59,54,81.10, 73.6%,2469,726.2,102.1,186.1,41.3,   5.2,0.97,0.000,0.000,NA,12,2439,4235.2,70.1,276.2,91.4,   6.1,0.99,0.000,0.000,NA,12,230.9,Double_Solid,4
40,3.800,2024-09-03,22:57:25,28.494749,-80.843315,0.60,53,81.22, 73.8%,2527,514.4,120.1,213.3,43.3,   5.6,0.97,0.000,0.000,NA,13,2511,731.4,208.8,316.7,44.7,   6.2,0.99,0.000,0.000,NA,13,264.9,Double_Solid,4
41,3.900,2024-09-03,22:57:32,28.496004,-80.842461,0.61,54,81.16, 74.3%,2562,632.4,126.2,245.3,40.2,   5.5,0.98,0.000,0.000,NA,12,2533,718.9,169.7,299.2,40.7,   6.3,0.99,0.000,0.000,NA,12,272.1,Double_Solid,4
(Road Condition Start),3.971,2024-09-03,22:57:37,28.496874,-80.841866,0.60,54,81.20, 74.6%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,40
42,4.000,2024-09-03,22:57:39,28.497223,-80.841629,0.60,54,81.19, 74.7%,2536,800.3,54.2,156.6,78.7,   4.9,0.92,0.000,0.000,NA,9,2491,729.0,54.9,248.9,99.6,   6.0,0.95,0.000,0.000,NA,9,202.3,Double_Solid,40
(Road Condition End),4.015,2024-09-03,22:57:40,28.497414,-80.841484,0.60,53,81.16, 74.7%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,0
43,4.036,2024-09-03,22:57:41,28.497681,-80.841301,0.59,53,81.19, 74.8%,951,1392.7,52.7,81.8,62.6,   3.5,0.83,0.000,0.000,NA,5,947,662.2,52.7,84.4,55.7,   4.6,0.93,0.000,0.000,NA,1,83.1,Double_Solid,0
44,4.100,2024-09-03,22:57:45,28.498465,-80.840759,0.58,53,81.19, 75.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,0
45,4.158,2024-09-03,22:57:49,28.499182,-80.840279,0.58,53,81.24, 75.8%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,0
46,4.200,2024-09-03,22:57:52,28.499725,-80.839920,0.58,53,81.14, 75.6%,800,538.8,50.3,78.3,61.6,   1.4,0.69,0.000,0.000,NA,1,746,649.4,50.6,81.4,82.9,   1.6,0.70,0.000,0.000,NA,3,79.8,Double_Solid,0
(Road Condition Start),4.232,2024-09-03,22:57:54,28.500114,-80.839661,0.57,53,81.24, 75.6%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,40
47,4.300,2024-09-03,22:57:59,28.500978,-80.839073,0.56,54,81.18, 75.5%,2636,789.0,52.4,111.9,52.7,   4.7,0.94,0.000,0.000,NA,14,2642,837.8,55.5,98.1,60.1,   5.4,0.93,0.000,0.000,NA,14,105.0,Double_Solid,40
(Road Condition Start),4.317,2024-09-03,22:58:00,28.501190,-80.838928,0.56,54,81.20, 75.5%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,420
(Road Condition End),4.368,2024-09-03,22:58:03,28.501808,-80.838509,0.55,54,81.17, 75.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,40
48,4.400,2024-09-03,22:58:06,28.502209,-80.838234,0.54,54,81.20, 75.4%,2526,954.8,51.8,90.6,57.0,   4.4,0.83,0.000,0.000,NA,10,2309,988.9,50.3,77.9,50.6,   3.7,0.77,0.000,0.000,NA,15,84.5,Double_Solid,40
49,4.437,2024-09-03,22:58:08,28.502659,-80.837914,0.54,54,81.24, 75.5%,830,583.9,50.3,70.2,42.9,   2.3,0.75,0.000,0.000,NA,1,806,457.4,50.3,69.4,21.1,   3.9,0.83,0.000,0.000,NA,1,69.8,Double_Solid,40
50,4.452,2024-09-03,22:58:09,28.502865,-80.837776,0.54,54,81.29, 75.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,40
(Road Condition End),4.470,2024-09-03,22:58:10,28.503069,-80.837631,0.54,54,81.27, 75.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,0
51,4.500,2024-09-03,22:58:12,28.503460,-80.837364,0.54,54,81.21, 75.4%,884,751.8,50.6,71.8,43.3,   2.5,0.83,0.000,0.000,NA,1,811,646.1,50.3,68.2,42.4,   1.7,0.75,0.000,0.000,NA,0,70.1,Double_Solid,0
52,4.600,2024-09-03,22:58:19,28.504688,-80.836540,0.54,53,81.24, 75.7%,2501,656.1,50.3,82.7,44.4,   3.7,0.86,0.000,0.000,NA,18,2537,823.1,52.7,81.4,53.2,   4.9,0.90,0.000,0.000,NA,7,82.0,Double_Solid,0
(Road Condition End),4.631,2024-09-03,22:58:21,28.505066,-80.836288,0.55,53,81.25, 75.7%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,
53,4.700,2024-09-03,22:58:26,28.505953,-80.835686,0.59,53,81.20, 75.7%,2591,778.3,51.8,207.0,80.3,   5.4,0.95,0.000,0.000,NA,15,2526,825.0,54.2,245.8,109.9,   5.8,0.96,0.000,0.000,NA,15,226.1,Double_Solid,
(Road Condition Start),4.752,2024-09-03,22:58:29,28.506605,-80.835236,0.58,53,81.35, 75.7%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,4
54,4.800,2024-09-03,22:58:32,28.507196,-80.834839,0.59,53,81.31, 75.5%,2557,496.8,126.8,210.6,37.3,   5.2,0.97,0.000,0.000,NA,12,2514,815.2,144.5,246.1,38.8,   5.4,0.98,0.000,0.000,NA,12,228.2,Double_Solid,4
55,4.900,2024-09-03,22:58:39,28.508415,-80.834000,0.58,54,81.34, 75.0%,2471,617.1,146.9,225.2,30.9,   6.1,0.98,0.000,0.000,NA,12,2430,4976.0,93.9,234.6,104.6,   5.9,0.98,0.000,0.000,NA,13,229.8,Double_Solid,4
56,5.000,2024-09-03,22:58:46,28.509670,-80.833145,0.63,53,81.26, 74.8%,2563,738.7,114.9,224.7,41.5,   5.8,0.98,0.000,0.000,NA,12,2527,843.3,117.3,195.6,40.3,   6.2,0.99,0.000,0.000,NA,13,210.2,Double_Solid,4
57,5.100,2024-09-03,22:58:53,28.510935,-80.832291,0.67,54,81.26, 74.6%,2588,723.5,67.7,119.2,32.4,   6.0,0.97,0.000,0.000,NA,11,2542,1120.0,84.1,135.5,36.6,   5.7,0.99,0.000,0.000,NA,12,127.2,Double_Solid,4
58,5.200,2024-09-03,22:58:59,28.512169,-80.831451,0.65,54,81.23, 74.2%,2466,676.9,59.4,124.6,33.5,   5.6,0.97,0.000,0.000,NA,12,2440,771.9,78.3,144.0,34.3,   5.3,0.99,0.000,0.000,NA,12,134.2,Double_Solid,4
59,5.300,2024-09-03,22:59:06,28.513418,-80.830605,0.59,54,81.21, 74.2%,2494,772.6,79.2,154.7,40.6,   6.0,0.98,0.000,0.000,NA,13,2453,871.3,89.6,133.7,40.2,   5.8,0.99,0.000,0.000,NA,14,144.3,Double_Solid,4
60,5.400,2024-09-03,22:59:12,28.514652,-80.829742,0.58,54,81.25, 74.1%,2408,708.3,58.2,165.7,58.9,   5.3,0.93,0.000,0.000,NA,26,2276,829.5,68.0,123.8,55.5,   6.1,0.98,0.000,0.000,NA,24,145.4,Double_Solid,4
61,5.500,2024-09-03,22:59:19,28.515894,-80.828888,0.57,54,81.26, 74.3%,2334,709.2,59.4,103.6,48.8,   5.3,0.94,0.000,0.000,NA,26,2263,896.3,65.8,127.3,70.4,   5.3,0.97,0.000,0.000,NA,27,115.3,Double_Solid,4
62,5.532,2024-09-03,22:59:21,28.516289,-80.828613,0.57,54,81.24, 74.4%,743,732.6,62.5,101.5,61.6,   5.4,0.90,0.000,0.000,NA,8,723,976.7,66.4,114.5,76.3,   5.5,0.95,0.000,0.000,NA,8,107.9,Double_Solid,4
63,5.550,2024-09-03,22:59:22,28.516506,-80.828468,0.57,55,81.26, 74.5%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,4
64,5.600,2024-09-03,22:59:26,28.517136,-80.828041,0.56,54,81.28, 74.7%,1146,747.9,51.5,90.4,43.6,   4.8,0.90,0.000,0.000,NA,7,1138,837.5,53.0,86.6,64.2,   5.0,0.92,0.000,0.000,NA,6,88.5,Double_Solid,4
65,5.700,2024-09-03,22:59:32,28.518381,-80.827194,0.57,54,81.29, 74.0%,2453,582.1,61.6,150.9,36.5,   5.2,0.96,0.000,0.000,NA,15,2435,754.6,80.2,145.1,44.7,   5.6,0.97,0.000,0.000,NA,14,148.0,Double_Solid,4
66,5.800,2024-09-03,22:59:39,28.519632,-80.826363,0.57,55,81.25, 73.9%,2336,759.8,113.4,193.4,42.6,   5.7,0.95,0.000,0.000,NA,28,2256,628.4,103.0,198.4,42.4,   6.2,0.98,0.000,0.000,NA,25,195.9,Double_Solid,4
67,5.900,2024-09-03,22:59:46,28.520885,-80.825508,0.56,55,81.18, 73.6%,2524,545.8,140.2,250.8,32.7,   5.8,0.98,0.000,0.000,NA,12,2503,599.5,126.5,227.6,36.9,   6.2,0.98,0.000,0.000,NA,12,239.2,Double_Solid,4
68,6.000,2024-09-03,22:59:52,28.522131,-80.824661,0.48,54,81.20, 73.7%,2505,730.8,137.4,253.4,45.8,   6.0,0.97,0.000,0.000,NA,13,2479,666.2,115.2,268.6,44.3,   6.2,0.98,0.000,0.000,NA,12,261.0,Double_Solid,4
69,6.100,2024-09-03,22:59:59,28.523367,-80.823822,0.46,54,81.18, 73.8%,2509,775.3,86.6,234.2,47.3,   6.2,0.97,0.000,0.000,NA,12,2487,739.6,115.8,243.5,57.3,   5.9,0.98,0.000,0.000,NA,13,238.8,Double_Solid,4
70,6.200,2024-09-03,23:00:05,28.524620,-80.822968,0.45,55,81.22, 74.1%,2477,963.3,120.1,234.0,46.4,   6.3,0.97,0.000,0.000,NA,12,2456,789.9,136.5,237.2,34.4,   5.9,0.98,0.000,0.000,NA,11,235.6,Double_Solid,4
71,6.300,2024-09-03,23:00:12,28.525856,-80.822128,0.45,54,81.18, 74.3%,2510,781.4,123.1,185.7,33.0,   6.2,0.97,0.000,0.000,NA,12,2472,641.8,106.7,202.0,40.3,   6.0,0.98,0.000,0.000,NA,11,193.8,Double_Solid,4
72,6.400,2024-09-03,23:00:18,28.527098,-80.821281,0.46,55,81.22, 74.9%,2479,737.5,72.5,130.7,40.4,   5.8,0.96,0.000,0.000,NA,14,2408,9001.9,80.5,167.0,185.2,   6.2,0.97,0.000,0.000,NA,15,148.6,Double_Solid,4
73,6.500,2024-09-03,23:00:25,28.528343,-80.820442,0.45,54,81.29, 75.1%,2488,591.2,106.7,204.9,46.9,   5.2,0.97,0.000,0.000,NA,12,2486,804.2,96.3,193.9,49.7,   6.1,0.98,0.000,0.000,NA,13,199.4,Double_Solid,4
74,6.600,2024-09-03,23:00:32,28.529684,-80.819725,0.49,53,81.17, 74.7%,2596,750.3,100.0,196.6,54.9,   5.7,0.96,0.000,0.000,NA,12,2571,741.8,67.0,151.4,38.3,   6.3,0.97,0.000,0.000,NA,11,174.1,Double_Solid,4
75,6.658,2024-09-03,23:00:36,28.530479,-80.819466,0.49,46,81.20, 74.7%,1493,820.1,53.0,246.7,151.6,   5.0,0.88,0.000,0.000,NA,12,1414,896.6,53.3,237.3,138.1,   6.1,0.94,0.000,0.000,NA,18,242.1,Double_Solid,4
76,6.690,2024-09-03,23:00:39,28.530899,-80.819321,0.49,44,81.25, 74.7%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,4
77,6.700,2024-09-03,23:00:40,28.531063,-80.819267,0.49,43,81.21, 74.7%,379,164.6,52.4,98.0,23.5,   5.0,0.96,0.000,0.000,NA,0,35,120.7,50.9,77.6,18.6,   2.7,0.78,0.000,0.000,NA,0,96.3,Double_Solid,4
78,6.785,2024-09-03,23:00:52,28.532196,-80.818886,0.51,8,81.29, 74.4%,1338,162.1,50.3,86.6,26.5,   3.2,0.89,0.000,0.000,NA,0,247,137.7,50.6,70.3,19.4,   1.6,0.77,0.000,0.000,NA,0,84.1,Double_Solid,4
79,6.788,2024-09-03,23:00:53,28.532215,-80.818878,0.50,1,81.24, 74.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,4
(Road Condition End),6.788,2024-09-03,23:00:53,28.532215,-80.818878,0.50,1,81.24, 74.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,
